Date,Username,Feature,Sessions,Time spent,Average time spent
01/06/2017,kwalter,Reporting,14,23,1.642857143
01/06/2017,kcarr,Roadmap,17,55,3.235294118
01/06/2017,cstuart,Automation,13,2,0.153846154
01/06/2017,mkelley,Task Creation,14,18,1.285714286
02/06/2017,edillon,Task Creation,17,13,0.764705882
02/06/2017,ablackwell,Roadmap,15,40,2.666666667
02/06/2017,jhuang,Saga Creation,14,34,2.428571429
02/06/2017,shorne,Automation,14,4,0.285714286
02/06/2017,nblair,Account Managment,13,15,1.153846154
03/06/2017,dhays,Account Managment,15,19,1.266666667
03/06/2017,eberry,Automation,17,16,0.941176471
03/06/2017,jbeasley,Roadmap,17,42,2.470588235
03/06/2017,bhensley,Task Creation,16,22,1.375
03/06/2017,kcarr,Saga Creation,15,23,1.533333333
04/06/2017,kalvarado,Roadmap,14,59,4.214285714
04/06/2017,edillon,Account Managment,15,12,0.8
04/06/2017,rconway,Automation,14,19,1.357142857
04/06/2017,ipierce,Saga Creation,13,27,2.076923077
04/06/2017,yfriedman,Reporting,16,21,1.3125
04/06/2017,kgalloway,Task Creation,14,16,1.142857143
05/06/2017,wharvey,Roadmap,16,44,2.75
05/06/2017,kkane,Saga Creation,17,19,1.117647059
05/06/2017,amcintyre,Reporting,14,20,1.428571429
05/06/2017,lwheeler,Task Creation,14,25,1.785714286
05/06/2017,dbell,Account Managment,15,5,0.333333333
05/06/2017,acombs,Automation,15,5,0.333333333
06/06/2017,nphillips,Automation,15,5,0.333333333
06/06/2017,kflowers,Saga Creation,14,30,2.142857143
06/06/2017,sfox,Reporting,14,29,2.071428571
06/06/2017,aortega,Task Creation,15,16,1.066666667
07/06/2017,zhodges,Automation,15,14,0.933333333
07/06/2017,ofrye,Saga Creation,16,32,2
07/06/2017,rcalhoun,Reporting,16,29,1.8125
07/06/2017,nphillips,Task Creation,13,24,1.846153846
07/06/2017,wharvey,Roadmap,14,57,4.071428571
08/06/2017,kreese,Saga Creation,14,28,2
08/06/2017,rherman,Task Creation,16,13,0.8125
08/06/2017,acombs,Reporting,13,28,2.153846154
08/06/2017,nblair,Account Managment,17,24,1.411764706
08/06/2017,amurphy,Automation,16,12,0.75
08/06/2017,mforbes,Roadmap,14,43,3.071428571
09/06/2017,evilla,Automation,14,13,0.928571429
09/06/2017,kflowers,Reporting,16,33,2.0625
09/06/2017,jhansen,Task Creation,14,11,0.785714286
09/06/2017,ggiles,Roadmap,14,41,2.928571429
10/06/2017,chenson,Reporting,17,15,0.882352941
10/06/2017,soneill,Task Creation,15,12,0.8
10/06/2017,ofrye,Account Managment,13,8,0.615384615
10/06/2017,sfox,Saga Creation,17,29,1.705882353
10/06/2017,zhodges,Automation,17,7,0.411764706
11/06/2017,ncooke,Automation,13,18,1.384615385
11/06/2017,bedwards,Reporting,16,25,1.5625
11/06/2017,shardin,Task Creation,16,17,1.0625
11/06/2017,dbriggs,Account Managment,16,6,0.375
11/06/2017,ablackwell,Roadmap,17,53,3.117647059
12/06/2017,sferguson,Account Managment,16,5,0.3125
12/06/2017,rconway,Reporting,17,23,1.352941176
12/06/2017,shorne,Task Creation,17,10,0.588235294
13/06/2017,bparker,Account Managment,13,18,1.384615385
13/06/2017,sshepard,Saga Creation,17,33,1.941176471
13/06/2017,cdudley,Automation,14,18,1.285714286
13/06/2017,kreese,Reporting,16,20,1.25
13/06/2017,greilly,Task Creation,15,21,1.4
13/06/2017,rcalhoun,Roadmap,15,58,3.866666667
14/06/2017,sshepard,Saga Creation,13,28,2.153846154
14/06/2017,jbarajas,Reporting,13,30,2.307692308
14/06/2017,amcintyre,Roadmap,15,49,3.266666667
14/06/2017,tosborne,Task Creation,13,19,1.461538462
14/06/2017,skelly,Account Managment,13,24,1.846153846
14/06/2017,chodge,Automation,13,3,0.230769231
15/06/2017,rrobles,Account Managment,14,23,1.642857143
15/06/2017,greilly,Saga Creation,16,19,1.1875
15/06/2017,qwyatt,Task Creation,17,19,1.117647059
15/06/2017,cstuart,Reporting,13,22,1.692307692
16/06/2017,cstuart,Task Creation,17,23,1.352941176
16/06/2017,nclarke,Account Managment,16,20,1.25
16/06/2017,amurphy,Automation,13,10,0.769230769
16/06/2017,kkane,Saga Creation,14,24,1.714285714
16/06/2017,kdurham,Reporting,16,32,2
16/06/2017,kdurham,Roadmap,17,53,3.117647059
17/06/2017,nblair,Saga Creation,14,27,1.928571429
17/06/2017,kashley,Reporting,14,32,2.285714286
17/06/2017,lbuck,Task Creation,13,29,2.230769231
17/06/2017,dbenton,Automation,15,12,0.8
17/06/2017,skelly,Account Managment,14,12,0.857142857
17/06/2017,mkelley,Roadmap,13,46,3.538461538
18/06/2017,shardin,Saga Creation,14,29,2.071428571
18/06/2017,awoodward,Account Managment,15,13,0.866666667
18/06/2017,ofrye,Roadmap,16,59,3.6875
18/06/2017,mgonzalez,Task Creation,17,13,0.764705882
18/06/2017,acox,Reporting,13,27,2.076923077
18/06/2017,sferguson,Automation,15,17,1.133333333
19/06/2017,sfox,Task Creation,15,22,1.466666667
19/06/2017,kashley,Reporting,13,28,2.153846154
19/06/2017,qwyatt,Account Managment,17,24,1.411764706
19/06/2017,kalvarado,Automation,16,20,1.25
19/06/2017,wharvey,Roadmap,15,55,3.666666667
20/06/2017,mforbes,Saga Creation,15,19,1.266666667
20/06/2017,kvilla,Reporting,16,19,1.1875
20/06/2017,dhays,Task Creation,15,21,1.4
20/06/2017,shorne,Roadmap,14,40,2.857142857
20/06/2017,cvillarreal,Account Managment,15,16,1.066666667
20/06/2017,soneill,Automation,15,14,0.933333333
21/06/2017,dhays,Roadmap,16,47,2.9375
21/06/2017,amcintyre,Reporting,15,33,2.2
21/06/2017,ecoleman,Saga Creation,14,22,1.571428571
21/06/2017,rrobles,Automation,17,1,0.058823529
22/06/2017,kkane,Account Managment,13,23,1.769230769
22/06/2017,kvilla,Reporting,15,35,2.333333333
22/06/2017,bedwards,Task Creation,16,24,1.5
22/06/2017,skelly,Saga Creation,17,28,1.647058824
23/06/2017,tduffy,Roadmap,13,55,4.230769231
23/06/2017,ewaller,Saga Creation,14,30,2.142857143
23/06/2017,ecoleman,Reporting,16,31,1.9375
23/06/2017,evega,Account Managment,17,23,1.352941176
23/06/2017,shumphrey,Automation,16,16,1
24/06/2017,kalvarado,Task Creation,13,19,1.461538462
24/06/2017,yfriedman,Automation,16,8,0.5
25/06/2017,eberry,Roadmap,17,58,3.411764706
25/06/2017,mmayer,Task Creation,14,12,0.857142857
25/06/2017,cdudley,Automation,14,7,0.5
25/06/2017,mmayer,Account Managment,17,17,1
25/06/2017,ecampos,Reporting,14,28,2
26/06/2017,jhuang,Automation,14,6,0.428571429
26/06/2017,jbarajas,Roadmap,16,52,3.25
26/06/2017,cdudley,Task Creation,13,25,1.923076923
26/06/2017,sshepard,Account Managment,17,20,1.176470588
